zip,city,state
33440,Fort Lauderdale,Florida
29301,Redmond,South Carolina
22849,Clarks Summit,Virginia
27513,Cameron,North Carolina
34475,Grand Island,Florida
29445,Brooklyn,South Carolina
62801,Hot Springs Village,Illinois
34601,Ruskin,Florida
98229,Stayton,Washington
34207,Melbourne,Florida
23455,Virginia Beach,Virginia
29609,High Point,South Carolina
27105,Winston-Salem,North Carolina
29407,Richmond,South Carolina
28752,Marion,North Carolina
30071,Duluth,Georgia
80303,Boulder,Colorado
27332,Garner,North Carolina
27105,Kernersville,North Carolina
37421,Calhoun,Tennessee
31093,Marietta,Georgia
87035,Moriarty,New Mexico
48603,Gladwin,Michigan
29651,Greenville,South Carolina
39047,Ruston,Mississippi
37421,McMinnville,Tennessee
33709,Bradenton,Florida
33714,Pinellas Park,Florida
29730,Chester,South Carolina
33781,Miami,Florida
37920,Albertville,Tennessee
22302,Sterling,Virginia
33614,DeLand,Florida
34232,Sarasota,Florida
22312,Fairfax,Virginia
30040,Riverdale,Georgia
30040,Ball Ground,Georgia
34638,Largo,Florida
93101,Santa Barbara,California
27513,Morrisville,North Carolina
30263,Butler,Georgia
36526,Freeport,Alabama
33880,Miami,Florida
60173,null,Illinois
29732,Salisbury,South Carolina
7104,West Babylon,New Jersey
45246,New Castle,Ohio
38122,Cordova,Tennessee
32407,Waterloo,Florida
32578,Moscow,Florida
34669,Orlando,Florida
34475,null,Florida
30115,Guadalupe,Georgia
29505,Charlotte,South Carolina
7104,Troy,New Jersey
36606,Cantonment,Alabama
28412,Kelly,North Carolina
29483,Sumter,South Carolina
40219,null,Kentucky
29609,Conover,South Carolina
8210,Cape May,New Jersey
30046,Duluth,Georgia
34207,Parrish,Florida
36526,Satsuma,Alabama
33614,Dayton,Florida
33781,Tarpon Springs,Florida
39503,Gautier,Mississippi
28303,Charlottesville,North Carolina
77598,Salt Lake City,Texas
7104,Maple Shade,New Jersey
36608,Milton,Alabama
22302,Arlington,Virginia
37138,Paducah,Tennessee
31407,Springfield,Georgia
2132,Portsmouth,Massachusetts
30040,Lawrenceville,Georgia
28562,null,North Carolina
30115,Trenton,Georgia
45663,Alexander City,Ohio
61455,Des Moines,Illinois
63376,Florissant,Missouri
28146,Lexington,North Carolina
32244,Jacksonville,Florida
18915,Ambler,Pennsylvania
37115,Old Hickory,Tennessee
33770,Beverly Hills,Florida
21061,Wilmington,Maryland
53045,Milwaukee,Wisconsin
29730,Ellenwood,South Carolina
39531,Laurel,Mississippi
32771,DeLand,Florida
72801,null,Arkansas
30084,Stone Mountain,Georgia
22302,Waldorf,Virginia
27105,Charlotte,North Carolina
36203,Lincoln,Alabama
28806,Angier,North Carolina
30747,Dalton,Georgia
33032,Hollywood,Florida
35501,Fayetteville,Alabama
32609,Phoenix,Florida
77578,Sugar Land,Texas
39208,Jackson,Mississippi
28574,Clayton,North Carolina
45246,Harrison,Ohio
29609,Atlanta,South Carolina
48603,Ashley,Michigan
34207,Aguas Buenas,Florida
22849,Edinburg,Virginia
28806,Orlando,North Carolina
35405,Atlanta,Alabama
30093,Duluth,Georgia
33801,Lakeland,Florida
31217,Warner Robins,Georgia
36870,Midland,Alabama
71282,Houston,Louisiana
74145,Tulsa,Oklahoma
29728,Charlotte,South Carolina
32817,Kissimmee,Florida
32505,Monroeville,Florida
30540,Jasper,Georgia
31533,null,Georgia
34275,Lakeland,Florida
37323,Cleveland,Tennessee
32703,Apopka,Florida
32405,Lynn Haven,Florida
60173,Willow Springs,Illinois
34207,Ellenwood,Florida
37167,Gallatin,Tennessee
30907,Evans,Georgia
35016,Cullman,Alabama
32696,Altamonte Springs,Florida
33023,Hialeah,Florida
30319,Cleveland,Georgia
28212,Concord,North Carolina
32256,Jacksonville,Florida
87107,null,New Mexico
32804,Miami,Florida
33069,Goldsboro,Florida
27262,San Bruno,North Carolina
28405,null,North Carolina
36203,Fort Huachuaca,Alabama
33069,Hialeah,Florida
45246,Cincinnati,Ohio
30458,Waynesboro,Georgia
32216,Jacksonville,Florida
30263,Washington,Georgia
27028,null,North Carolina
30721,Jasper,Georgia
29170,Louisville,South Carolina
32246,Ponte Vedra Beach,Florida
50131,null,Iowa
7104,Beaver,New Jersey
36608,Butler,Alabama
27603,null,North Carolina
28546,Raleigh,North Carolina
28791,Butler,North Carolina
34207,Durham,Florida
32246,Savannah,Florida
27513,Long Island City,North Carolina
37421,Blue Ridge,Tennessee
32246,Uxbridge,Florida
33614,Gibsonton,Florida
33534,Norfolk,Florida
27215,Kernersville,North Carolina
33604,Clearwater,Florida
30093,Lawrenceville,Georgia
38002,Memphis,Tennessee
34748,Leesburg,Florida
33612,New Port Richey,Florida
18915,Warminster,Pennsylvania
78602,Daphne,Texas
31707,Albany,Georgia
27537,Fayetteville,North Carolina
8210,Marmora,New Jersey
30248,Cedar Rapids,Georgia
27954,null,North Carolina
33709,Sun City Center,Florida
34761,Altamonte Springs,Florida
32804,Clermont,Florida
32225,null,Florida
33762,Lakeland,Florida
28677,null,North Carolina
34207,Ramallah,Florida
39051,Meridian,Mississippi
34471,Jacksonville,Florida
29609,Monroe,South Carolina
30055,Birmingham,Georgia
30066,Powder Springs,Georgia
32084,St. Augustine,Florida
39301,Decatur,Mississippi
32609,Beverly Hills,Florida
29501,Elgin,South Carolina
33614,Saint Petersburg,Florida
33147,null,Florida
29456,North Charleston,South Carolina
30115,Cleveland,Georgia
94087,Norfolk,California
61081,Burlington,Illinois
2767,null,Massachusetts
33619,Boca Raton,Florida
39301,Seminary,Mississippi
8753,Kingston,New Jersey
48640,Frankenmuth,Michigan
34207,Brecksville,Florida
33578,Brandon,Florida
32244,Lake City,Florida
30096,null,Georgia
60185,Willow Springs,Illinois
33709,Hialeah,Florida
18915,Bethlehem,Pennsylvania
4072,Saco,Maine
48603,Durand,Michigan
4072,Windham Center,Maine
29577,Blythewood,South Carolina
33912,Naples,Florida
34207,Miami,Florida
33912,Lehigh Acres,Florida
30513,Blue Ridge,Georgia
32578,Valparaiso,Florida
48603,Houston,Michigan
32534,Houston,Florida
30234,null,Georgia
34207,Winter Garden,Florida
80303,Longmont,Colorado
27604,Atlanta,North Carolina
35085,Alabaster,Alabama
38834,null,Mississippi
29649,Gastonia,South Carolina
33625,Land O' Lakes,Florida
30220,Griffin,Georgia
38237,Springdale,Tennessee
8232,Mechanicsburg,New Jersey
30060,Bethesda,Georgia
39531,New Albany,Mississippi
30577,Toccoa,Georgia
27893,Elon,North Carolina
29577,Moncks Corner,South Carolina
33314,Miami,Florida
61081,null,Illinois
38116,Memphis,Tennessee
32505,Gulf Breeze,Florida
34994,Oviedo,Florida
29526,Irmo,South Carolina
30046,Watkinsville,Georgia
28806,Auburn,North Carolina
30721,Johnson City,Georgia
34691,Apopka,Florida
27834,Washington,North Carolina
30360,Bay Shore,Georgia
32809,Parlin,Florida
64116,Hardin,Missouri
34613,Homosassa,Florida
67601,Hays,Kansas
29170,Columbia,South Carolina
48603,Columbus,Michigan
48603,Utica,Michigan
35661,Birmingham,Alabama
37167,Nashville,Tennessee
31405,null,Georgia
8753,Newark,New Jersey
24450,Midlothian,Virginia
40219,Elizabethtown,Kentucky
28806,Greenville,North Carolina
34982,Sebastian,Florida
63042,Florissant,Missouri
29016,Myrtle Beach,South Carolina
29730,Pineville,South Carolina
28806,null,North Carolina
28806,Lansing,North Carolina
27604,Clayton,North Carolina
27284,Burlington,North Carolina
31217,Moultrie,Georgia
53121,Delavan,Wisconsin
67211,null,Kansas
37167,Lawrenceburg,Tennessee
27604,Middletown,North Carolina
39301,Newton,Mississippi
27603,Smithfield,North Carolina
29461,Moncks Corner,South Carolina
85016,Phoenix,Arizona
36606,Moss Point,Alabama
29730,Marietta,South Carolina
77065,Houston,Texas
7104,Greenwich,New Jersey
33781,Brooklyn,Florida
30220,null,Georgia
29609,Washington,South Carolina
31405,Louisville,Georgia
28791,Weaverville,North Carolina
28717,Decatur,North Carolina
74145,Santa Barbara,Oklahoma
27262,Bland,North Carolina
30060,Tucker,Georgia
8037,null,New Jersey
29732,Toronto,South Carolina
29829,Memphis,South Carolina
29053,Chapin,South Carolina
37876,Seymour,Tennessee
35117,Griffin,Alabama
32505,Milton,Florida
37421,Knoxville,Tennessee
29053,null,South Carolina
32244,Umatilla,Florida
32304,Grand Rapids,Florida
30542,Atlanta,Georgia
30046,Old Fort,Georgia
32771,Hialeah,Florida
30009,Phenix City,Georgia
60106,Woodridge,Illinois
34231,Tampa,Florida
32703,Leesburg,Florida
32578,Fort Walton Beach,Florida
29435,null,South Carolina
20852,Frederick,Maryland
2032,Springfield,Massachusetts
31216,null,Georgia
7104,Washington,New Jersey
27288,Winston-Salem,North Carolina
36545,Elk Grove Village,Alabama
29526,Sumter,South Carolina
27604,Sanford,North Carolina
32301,Lakeland,Florida
30126,null,Georgia
28806,Sylva,North Carolina
18915,Lansdale,Pennsylvania
35080,Montgomery,Alabama
32506,Ozark,Florida
34207,Englewood,Florida
31503,Baxley,Georgia
31324,La Crosse,Georgia
35570,Nashville,Alabama
27028,Wilkesboro,North Carolina
34481,Ocala,Florida
29376,Spartanburg,South Carolina
61061,Antioch,Illinois
94087,San Jose,California
31324,Bismarck,Georgia
7104,New York,New Jersey
32303,Farmingville,Florida
29170,Charlotte,South Carolina
39047,West Monroe,Mississippi
7104,Staten Island,New Jersey
38834,Jackson,Mississippi
30909,Grovetown,Georgia
34950,Ellenwood,Florida
32804,New Port Richey,Florida
34787,Miami,Florida
33762,Clearwater,Florida
30248,Peachtree City,Georgia
30076,Stone Mountain,Georgia
30906,Byron,Georgia
28401,Morehead City,North Carolina
7104,Dumont,New Jersey
29609,Granite Falls,South Carolina
31516,Douglas,Georgia
33770,Boonville,Florida
60106,Lockport,Illinois
32905,Palm Bay,Florida
33634,null,Florida
35661,Florence,Alabama
28401,Burgaw,North Carolina
33613,New Hartford,Florida
34207,Cape Coral,Florida
32771,Melbourne,Florida
48634,Midland,Michigan
37876,Morristown,Tennessee
30016,Locust Grove,Georgia
29301,Simpsonville,South Carolina
28752,Forest City,North Carolina
31069,Warner Robins,Georgia
30046,Norman Park,Georgia
30907,Greenville,Georgia
34207,Jacksonville,Florida
27603,Cary,North Carolina
39503,Ocean Springs,Mississippi
31324,null,Georgia
22302,Parkville,Virginia
32771,Casselberry,Florida
77578,Suncook,Texas
33777,Saint Petersburg,Florida
36526,Semmes,Alabama
39051,Madison,Mississippi
37211,Plymouth,Tennessee
33460,West Palm Beach,Florida
28578,Goldsboro,North Carolina
32506,Pensacola,Florida
31794,Moultrie,Georgia
37311,Cleveland,Tennessee
7104,South Glens Falls,New Jersey
34135,Jacksonville,Florida
39201,Madison,Mississippi
36830,null,Alabama
30035,null,Georgia
29803,North Augusta,South Carolina
27603,Dunn,North Carolina
30907,High Point,Georgia
8037,Cape May,New Jersey
27603,Henderson,North Carolina
94087,Santa Barbara,California
28105,Wingate,North Carolina
33567,Seminole,Florida
30115,Westminster,Georgia
39307,null,Mississippi
34208,Bradenton,Florida
33714,Saint Petersburg,Florida
77034,Houston,Texas
31061,Milledgeville,Georgia
29645,Fountain Inn,South Carolina
7104,Hempstead,New Jersey
28540,Benson,North Carolina
33762,Weaverville,Florida
32218,Plano,Florida
48603,Grover,Michigan
29620,Calhoun Falls,South Carolina
28214,Charlotte,North Carolina
34207,Alva,Florida
32771,Longwood,Florida
28792,Brighton,North Carolina
64116,Heflin,Missouri
32303,Jacksonville,Florida
28412,Leland,North Carolina
33430,Deerfield Beach,Florida
32824,Port Orange,Florida
32210,Tallahassee,Florida
30655,Enterprise,Georgia
28110,Albemarle,North Carolina
39507,Slidell,Mississippi
29229,Columbia,South Carolina
63042,Elsah,Missouri
30680,Winder,Georgia
33770,New Port Richey,Florida
32301,Niceville,Florida
29609,Laconia,South Carolina
7104,Montgomery,New Jersey
39301,Marietta,Mississippi
32578,Freeport,Florida
32901,null,Florida
30135,Carrollton,Georgia
48603,New Windsor,Michigan
75703,Dallas,Texas
48603,Hemlock,Michigan
32506,Niceville,Florida
35117,Martinsburg,Alabama
39531,Fort Huachuaca,Mississippi
32771,Sanford,Florida
29730,Moscow,South Carolina
35805,Montgomery,Alabama
32503,Foley,Florida
33762,Tampa,Florida
34207,Overland Park,Florida
53051,Plymouth,Wisconsin
40047,Cincinnati,Kentucky
53045,Madison,Wisconsin
34207,Nokomis,Florida
27513,Burlington,North Carolina
30060,Dallas,Georgia
27707,null,North Carolina
37138,Gallatin,Tennessee
23707,Portsmouth,Virginia
29730,Waxhaw,South Carolina
32808,Melbourne,Florida
37921,Clinton,Tennessee
33781,Zephyrhills,Florida
42420,null,Kentucky
33770,Lakeland,Florida
29609,Hendersonville,South Carolina
29730,Fort Mill,South Carolina
77065,null,Texas
39531,Greenville,Mississippi
28262,Albertville,North Carolina
28540,Springfield Township,North Carolina
33781,null,Florida
32244,Fort Walton Beach,Florida
40165,Erlanger,Kentucky
28401,null,North Carolina
34601,Apopka,Florida
37167,Clarksville,Tennessee
30213,Opelika,Georgia
32822,Melbourne,Florida
63042,St Louis,Missouri
38127,Marion,Tennessee
28791,Fletcher,North Carolina
22302,Baltimore,Virginia
29526,Marietta,South Carolina
29609,Calabash,South Carolina
31539,Alma,Georgia
30014,Covington,Georgia
15216,null,Pennsylvania
32244,Glenview,Florida
32771,High Springs,Florida
34207,Polk City,Florida
24416,Ashburn,Virginia
31407,Hinesville,Georgia
30907,Grovetown,Georgia
32503,Milton,Florida
37055,Goodlettsville,Tennessee
29728,Jefferson,South Carolina
34601,Ejido Jacume,Florida
46123,Brownsburg,Indiana
29526,Little River,South Carolina
32218,Sioux Falls,Florida
34982,Clark,Florida
28906,Murphy,North Carolina
34950,Port Saint Lucie,Florida
36545,Jackson,Alabama
28791,null,North Carolina
60002,Antioch,Illinois
32534,Panama City,Florida
7104,Somerville,New Jersey
29053,New York,South Carolina
36526,Eatonton,Alabama
37421,Alamosa,Tennessee
30233,Griffin,Georgia
33781,Saint Petersburg,Florida
32177,Palatka,Florida
32824,Saint Cloud,Florida
32750,Tallahassee,Florida
29728,Rock Hill,South Carolina
78757,Austin,Texas
48603,Bad Axe,Michigan
89502,Reno,Nevada
30188,null,Georgia
37660,Bristol,Tennessee
34207,Newington,Florida
30161,null,Georgia
30047,Loganville,Georgia
27603,Cornelius,North Carolina
33770,Calabash,Florida
32804,Ashburn,Florida
27030,Apex,North Carolina
61081,Sterling,Illinois
29720,Lancaster,South Carolina
29611,null,South Carolina
39208,null,Mississippi
2090,Newtonville,Massachusetts
77034,Lake Jackson,Texas
48603,Kissimmee,Michigan
8210,Rahway,New Jersey
33901,Titusville,Florida
29607,Greenville,South Carolina
28791,Douglasville,North Carolina
28461,Zelienople,North Carolina
23901,Charlotte,Virginia
34207,Old Saybrook,Florida
27262,Gastonia,North Carolina
27262,Rural Hall,North Carolina
92675,Laguna Beach,California
28906,Ellijay,North Carolina
21921,Byron,Maryland
48603,Blanchard,Michigan
29526,Georgetown,South Carolina
27549,Fayetteville,North Carolina
7104,Jamaica,New Jersey
30121,Rome,Georgia
8753,Freehold Borough,New Jersey
35501,Columbus,Alabama
30542,null,Georgia
34243,Bradenton,Florida
60173,Streamwood,Illinois
22302,Woodsboro,Virginia
36619,null,Alabama
28791,Marietta,North Carolina
28117,Huntersville,North Carolina
29611,Greenville,South Carolina
28791,Richmond,North Carolina
30824,Montreal,Georgia
30060,Roswell,Georgia
34475,Plant City,Florida
33619,Hialeah,Florida
34237,Fort Myers,Florida
34448,Lake Butler,Florida
61341,Chicago,Illinois
33770,Minneapolis,Florida
61455,Benton,Illinois
32311,Fort Lauderdale,Florida
31407,Pooler,Georgia
36606,Mobile,Alabama
30542,Alpharetta,Georgia
31788,Thomasville,Georgia
32246,Alma,Florida
30742,Henryville,Georgia
30075,Powder Springs,Georgia
34471,Lady Lake,Florida
31705,Selbyville,Georgia
34475,Tampa,Florida
33032,Hialeah,Florida
32506,Navarre,Florida
39042,Jackson,Mississippi
32809,DeLand,Florida
42420,Evansville,Kentucky
8210,Millville,New Jersey
39307,Laurel,Mississippi
67216,null,Kansas
32311,Madison,Florida
34471,Ocala,Florida
34207,Sarasota,Florida
33759,Sumter,Florida
33567,Brandon,Florida
8753,Plainfield,New Jersey
4072,Cape Elizabeth,Maine
33311,null,Florida
29728,Lancaster,South Carolina
30076,Fairburn,Georgia
32626,Klin,Florida
31501,Athens,Georgia
48603,Circle Pines,Michigan
32246,Atlantic Beach,Florida
67207,Red Deer,Kansas
31093,Northbrook,Georgia
43912,Moundsville,Ohio
34471,Spartanburg,Florida
34787,Lakeland,Florida
7104,Cleveland,New Jersey
32246,Jacksonville,Florida
36545,Saraland,Alabama
33483,Ronkonkoma,Florida
29170,Fayetteville,South Carolina
61341,New York,Illinois
30906,Louisville,Georgia
60002,Chicago,Illinois
29204,Kingsport,South Carolina
31313,Savannah,Georgia
28358,Elizabethtown,North Carolina
34207,Ocoee,Florida
27513,Hilliard,North Carolina
28303,Charlotte,North Carolina
32907,Rockledge,Florida
28806,Canton,North Carolina
27263,Raleigh,North Carolina
8210,Chester,New Jersey
33064,Auburn,Florida
37311,Pelkie,Tennessee
29611,St Louis,South Carolina
34420,Hialeah,Florida
30360,null,Georgia
32822,New Holland,Florida
35233,Detroit,Alabama
29841,Charlotte,South Carolina
39056,Jackson,Mississippi
48603,Owosso,Michigan
32503,Pensacola,Florida
77083,Brenham,Texas
33614,Clermont,Florida
32442,Tallahassee,Florida
32534,Griswold,Florida
33023,Orlando,Florida
33513,Wildwood,Florida
32822,Orlando,Florida
27604,Warsaw,North Carolina
29729,Fort Mill,South Carolina
30040,Suwanee,Georgia
37912,null,Tennessee
29170,Marietta,South Carolina
30046,Cary,Georgia
33770,Stuart,Florida
33610,Oshkosh,Florida
32505,Roswell,Florida
22302,Silver Spring,Virginia
34450,Inverness,Florida
29609,Charlotte,South Carolina
34669,Moscow,Florida
31061,Douglas,Georgia
30047,Clemson,Georgia
64116,Stockton,Missouri
7104,Oklahoma City,New Jersey
34207,Sun City Center,Florida
62801,St Louis,Illinois
53045,St Louis,Wisconsin
31204,Charlotte,Georgia
31833,Lanett,Georgia
30248,Hogansville,Georgia
39503,Bay Saint Louis,Mississippi
39047,Ridgeland,Mississippi
29456,Miami,South Carolina
28043,null,North Carolina
33770,Inverness,Florida
33708,Sun City Center,Florida
30907,Thomson,Georgia
34207,Herndon,Florida
27944,Elizabeth City,North Carolina
29418,Johns Island,South Carolina
32304,Grand Ridge,Florida
47130,null,Indiana
61455,null,Illinois
29645,Fort Bragg,South Carolina
33069,Fort Lauderdale,Florida
29645,Gray Court,South Carolina
34638,Ocoee,Florida
28601,Tuxedo,North Carolina
7104,New Haven,New Jersey
32534,DeFuniak Springs,Florida
96819,Honolulu,Hawaii
33634,Orlando,Florida
53051,Redmond,Wisconsin
28734,Newport News,North Carolina
1852,Nashua,Massachusetts
27604,Durham,North Carolina
30220,Stone Mountain,Georgia
33444,Indialantic,Florida
30135,Thomaston,Georgia
37311,null,Tennessee
30540,Jefferson,Georgia
77338,Baytown,Texas
87031,Jemez Springs,New Mexico
34982,Vero Beach,Florida
29687,Inman,South Carolina
32208,null,Florida
29418,Cottageville,South Carolina
40701,London,Kentucky
33513,Kissimmee,Florida
33912,Sarasota,Florida
48603,Walled Lake,Michigan
30742,Hixson,Georgia
33781,Lawrenceburg,Florida
48603,Westland,Michigan
62801,Hazelwood,Illinois
48603,Atlanta,Michigan
2601,Biddeford,Massachusetts
33604,Boca Raton,Florida
34207,Spring Hill,Florida
32609,Spring Hill,Florida
98229,Seattle,Washington
28303,Graham,North Carolina
29607,Greer,South Carolina
48603,Sturgis,Michigan
22302,Great Falls,Virginia
34207,Safety Harbor,Florida
27030,Hickory,North Carolina
77065,Spring,Texas
27215,High Point,North Carolina
27105,Greensboro,North Carolina
48604,Midland,Michigan
36526,Ocala,Alabama
32205,Orange Park,Florida
48603,DeLand,Michigan
37211,Rossville,Tennessee
30075,null,Georgia
30075,Douglasville,Georgia
29645,Greenville,South Carolina
48603,Lansing,Michigan
37920,Loudon,Tennessee
30016,Covington,Georgia
32216,Ashburn,Florida
30223,Stone Mountain,Georgia
27284,Tempe,North Carolina
32244,Gainesville,Florida
28602,Hickory,North Carolina
35816,Huntsville,Alabama
34207,Sebring,Florida
31788,Moultrie,Georgia
27288,Eden,North Carolina
28717,Reading,North Carolina
8037,Gloucester City,New Jersey
36567,null,Alabama
27604,Chapel Hill,North Carolina
98229,Lakebay,Washington
15216,Queens Village,Pennsylvania
32216,Seminole,Florida
37421,Pittsburgh,Tennessee
33612,Orlando,Florida
29651,Harlan,South Carolina
30060,Raleigh,Georgia
30055,McDonough,Georgia
86326,Glendale,Arizona
32444,Port Saint Joe,Florida
75701,Tyler,Texas
30046,Lawrenceville,Georgia
32503,Gulf Breeze,Florida
33603,Athens,Florida
30047,Seneca,Georgia
42134,Bowling Green,Kentucky
33823,Ocala,Florida
35570,Chennai,Alabama
31069,Fort Valley,Georgia
30039,Snellville,Georgia
27513,Knightdale,North Carolina
33844,Davenport,Florida
33612,Richmond,Florida
7104,Pleasantville,New Jersey
34207,Ocala,Florida
27610,Clayton,North Carolina
38122,Memphis,Tennessee
30830,null,Georgia
33147,Ap'o,Florida
37660,Johnson City,Tennessee
27604,Rocky Mount,North Carolina
36830,Birmingham,Alabama
28540,Havelock,North Carolina
31503,Alpharetta,Georgia
39056,null,Mississippi
31503,Nahunta,Georgia
30075,Marietta,Georgia
33604,Saint Petersburg,Florida
29418,Myrtle Beach,South Carolina
30906,Evans,Georgia
34669,null,Florida
62801,Fairview Heights,Illinois
31516,null,Georgia
30188,Kennesaw,Georgia
50131,Ankeny,Iowa
36526,Birmingham,Alabama
33709,Northbrook,Florida
34207,Roslindale,Florida
65738,Murphysboro,Missouri
37122,Rushville,Tennessee
29732,Cary,South Carolina
93101,Los Angeles,California
33603,Sarasota,Florida
30188,Dalton,Georgia
27406,Dunn,North Carolina
31093,Thomasville,Georgia
33770,Birmingham,Florida
32303,Sterling Heights,Florida
29720,Charlotte,South Carolina
7104,Brentwood,New Jersey
48603,Muskegon,Michigan
29803,Aiken,South Carolina
92675,Perris,California
32505,Jacksonville,Florida
30342,Tampa,Georgia
7104,Commack,New Jersey
22302,Falls Church,Virginia
33770,Toronto,Florida
32506,San Bruno,Florida
29730,Van Wyck,South Carolina
37408,null,Tennessee
34207,Waverley,Florida
33023,Morganton,Florida
34601,Cape Coral,Florida
31535,Fitzgerald,Georgia
36608,null,Alabama
7104,Marlboro,New Jersey
32808,Mooresville,Florida
29150,Durham,South Carolina
75142,Austin,Texas
8037,Maple Shade,New Jersey
31539,null,Georgia
2767,Brewster,Massachusetts
33880,Bushnell,Florida
29607,Piedmont,South Carolina
28479,null,North Carolina
33619,Altamonte Springs,Florida
32233,Jacksonville,Florida
13208,Macedonia,New York
27607,Raleigh,North Carolina
28806,Kingsport,North Carolina
35242,Clanton,Alabama
33023,Hollywood,Florida
48603,Westerville,Michigan
8753,Mahwah,New Jersey
32233,Atlantic Beach,Florida
37660,Wise,Tennessee
27406,Greenville,North Carolina
34207,Amelia,Florida
33612,Burlington,Florida
29651,Taylors,South Carolina
34420,Lady Lake,Florida
32817,Orlando,Florida
29461,Winnsboro,South Carolina
8037,Absecon,New Jersey
36606,Lakeland,Alabama
42420,Indianapolis,Kentucky
30066,null,Georgia
34475,Lady Lake,Florida
37660,Elizabethton,Tennessee
27834,Greenville,North Carolina
27513,Menlo Park,North Carolina
34207,Chicago,Florida
27513,Fayetteville,North Carolina
34748,Altamonte Springs,Florida
27592,Willow Springs,North Carolina
27405,Toledo,North Carolina
28602,Greenville,North Carolina
33567,Tampa,Florida
30114,null,Georgia
30909,Chapin,Georgia
18915,Norristown,Pennsylvania
93101,null,California
48603,Clio,Michigan
29045,Irmo,South Carolina
30501,Philadelphia,Georgia
22302,McLean,Virginia
29609,Seneca,South Carolina
48603,Charlevoix,Michigan
29609,Duluth,South Carolina
27263,Berwyn,North Carolina
34207,North Port,Florida
34207,De Graff,Florida
28303,Lillington,North Carolina
32801,Apopka,Florida
30115,Braselton,Georgia
96814,'Ewa Beach,Hawaii
2132,Portland,Massachusetts
18915,Millsboro,Pennsylvania
36608,Daphne,Alabama
29720,Van Wyck,South Carolina
29418,Charleston,South Carolina
31206,null,Georgia
37040,null,Tennessee
31545,null,Georgia
28752,Raleigh,North Carolina
53045,Racine,Wisconsin
31217,Hawkinsville,Georgia
32506,Milton,Florida
33781,Antwerp,Florida
7104,Shrewsbury,New Jersey
7104,Danbury,New Jersey
45246,Chicago,Ohio
33714,Philadelphia,Florida
32534,Mobile,Florida
32505,Wesley Chapel,Florida
29730,Concord,South Carolina
36203,Donalsonville,Alabama
33440,Daytona Beach,Florida
28412,Hope Mills,North Carolina
31407,Savannah,Georgia
30223,null,Georgia
48603,Unionville,Michigan
32225,Pompano Beach,Florida
31217,null,Georgia
29418,Bluffton,South Carolina
32084,Jacksonville,Florida
37040,Clarksville,Tennessee
37876,Bristol,Tennessee
7104,Jackson Heights,New Jersey
36606,Hattiesburg,Alabama
33624,null,Florida
31788,Dubuque,Georgia
38008,Milan,Tennessee
32060,Orlando,Florida
27262,Kernersville,North Carolina
33781,Inverness,Florida
36526,Beverly Hills,Alabama
30824,Hephzibah,Georgia
30115,Aiken,Georgia
27616,Henderson,North Carolina
34207,Richmond,Florida
77598,Pearland,Texas
37421,Millbrook,Tennessee
33770,Shalimar,Florida
38024,Nashville,Tennessee
34601,The Villages,Florida
21061,Arnold,Maryland
32060,null,Florida
31206,Perry,Georgia
38127,Mabelvale,Tennessee
30024,Pell City,Georgia
8037,Lancaster,New Jersey
30097,Tempe,Georgia
53546,null,Wisconsin
31407,Miami,Georgia
33023,Miami,Florida
36526,Silverhill,Alabama
4072,Brooklyn,Maine
34207,San Miniato,Florida
64116,Platte City,Missouri
32822,Windermere,Florida
33567,Elkins,Florida
34207,Riverview,Florida
27526,Spring Hope,North Carolina
27262,Lincoln,North Carolina
32805,Sanford,Florida
31533,Fitzgerald,Georgia
77578,Tyler,Texas
20852,Potomac,Maryland
30360,Greer,Georgia
31093,Warner Robins,Georgia
29418,Mt. Pleasant,South Carolina
33567,Largo,Florida
29526,Goldsboro,South Carolina
39201,Jackson,Mississippi
39056,Ridgeland,Mississippi
42134,null,Kentucky
29649,null,South Carolina
8753,Washington,New Jersey
33714,null,Florida
48603,Birch Run,Michigan
31032,Macon,Georgia
37912,Knoxville,Tennessee
33781,Miami Beach,Florida
34601,Zephyrhills,Florida
30601,Athens,Georgia
29577,null,South Carolina
29170,Ellenwood,South Carolina
36870,Moscow,Alabama
31545,Marietta,Georgia
28791,Spartanburg,North Carolina
29609,Gaffney,South Carolina
32205,Fort Lauderdale,Florida
27888,Rocky Mount,North Carolina
39702,Columbus,Mississippi
32060,Lake Butler,Florida
27215,New York,North Carolina
27215,Mebane,North Carolina
29611,Williamston,South Carolina
33614,Louisville,Florida
29340,null,South Carolina
36330,Enterprise,Alabama
30168,Douglasville,Georgia
34638,Lorton,Florida
29611,Charlotte,South Carolina
31419,Pooler,Georgia
32771,Columbia,Florida
28752,null,North Carolina
28717,Baltimore,North Carolina
80214,Chicago,Colorado
32043,null,Florida
34207,Independence,Florida
30052,Alpharetta,Georgia
39073,null,Mississippi
27215,Walnut Cove,North Carolina
30504,null,Georgia
22302,Jersey City,Virginia
31204,Dahlonega,Georgia
18915,Florence,Pennsylvania
37055,Dickson,Tennessee
29526,Charlotte,South Carolina
31601,null,Georgia
38115,Cordova,Tennessee
7104,Portland,New Jersey
29526,Longs,South Carolina
30263,Newnan,Georgia
27856,Louisburg,North Carolina
34613,Tampa,Florida
29607,Rochester,South Carolina
64116,Liberty,Missouri
32808,Winter Haven,Florida
32211,Orange Park,Florida
